statement,dataset,split,correct,eval_order,p_dot,score_xfmt,score_capint
"46 x 8 = 386",arithmetic,arith_test,0,33,0.6384737277,0.0071226248,
"58 + 40 = 98",arithmetic,arith_train,1,,0.7364760163,,
"20 - 95 = -75",arithmetic,arith_train,1,,0.6403325089,,
"66 - 19 = 41",arithmetic,arith_test,0,98,0.4662326615,0.0028723049,
"88 + 23 = 118",arithmetic,arith_test,0,85,0.6463469060,0.0155244348,
"49 x 24 = 1193",arithmetic,arith_train,0,,0.5270044629,,
"8 - 51 = -40",arithmetic,arith_train,0,,0.2785486944,,
"76 - 8 = 68",arithmetic,arith_test,1,57,0.5363417865,0.9994067328,
"72 x 82 = 5884",arithmetic,arith_train,0,,0.7501220347,,
"87 + 60 = 150",arithmetic,arith_test,0,105,0.6418963162,0.0021544894,
"47 + 55 = 110",arithmetic,arith_train,0,,0.6668395535,,
"80 + 82 = 172",arithmetic,arith_train,0,,0.6102565119,,
"87 + 6 = 98",arithmetic,arith_train,0,,0.5928091896,,
"73 x 24 = 1752",arithmetic,arith_train,1,,0.7467858485,,
"11 - 81 = -70",arithmetic,arith_train,1,,0.5412362992,,
"86 x 33 = 2851",arithmetic,arith_train,0,,0.8061466152,,
"67 - 37 = 47",arithmetic,arith_train,0,,0.3048552815,,
"77 - 91 = -8",arithmetic,arith_train,0,,0.2971909749,,
"98 + 37 = 135",arithmetic,arith_test,1,29,0.7702111683,0.9917688583,
"80 + 40 = 105",arithmetic,arith_train,0,,0.3711583002,,
"99 x 70 = 6911",arithmetic,arith_train,0,,0.6392492454,,
"23 - 6 = 1",arithmetic,arith_train,0,,0.3241076061,,
"94 + 69 = 163",arithmetic,arith_test,1,9,0.8486890799,0.9939110130,
"53 + 62 = 115",arithmetic,arith_train,1,,0.7603399330,,
"83 x 8 = 664",arithmetic,arith_test,1,4,0.6536089648,0.6675392345,
"29 + 8 = 37",arithmetic,arith_train,1,,0.6901281052,,
"1 x 87 = 87",arithmetic,arith_train,1,,0.5876439426,,
"43 + 91 = 151",arithmetic,arith_train,0,,0.7243418547,,
"5 + 55 = 75",arithmetic,arith_train,0,,0.3428333914,,
"66 + 34 = 86",arithmetic,arith_train,0,,0.4422509307,,
"40 - 85 = -33",arithmetic,arith_test,0,71,0.3152524116,0.0000199536,
"53 - 28 = 25",arithmetic,arith_train,1,,0.5388173108,,
"86 - 68 = 18",arithmetic,arith_train,1,,0.5011628554,,
"2 x 95 = 190",arithmetic,arith_test,1,24,0.6520197784,0.9562170212,
"54 - 43 = 11",arithmetic,arith_train,1,,0.5295843770,,
"97 + 70 = 148",arithmetic,arith_train,0,,0.5895510034,,
"26 + 87 = 113",arithmetic,arith_train,1,,0.8163999596,,
"20 x 63 = 1245",arithmetic,arith_train,0,,0.6597280083,,
"57 x 59 = 3346",arithmetic,arith_train,0,,0.6448359790,,
"90 - 10 = 62",arithmetic,arith_train,0,,0.4368542146,,
"70 x 37 = 2590",arithmetic,arith_train,1,,0.7580176413,,
"12 - 24 = -20",arithmetic,arith_train,0,,0.2913650784,,
"31 - 15 = 16",arithmetic,arith_train,1,,0.5854150638,,
"6 - 33 = -27",arithmetic,arith_train,1,,0.6596011566,,
"14 + 72 = 86",arithmetic,arith_train,1,,0.6656096830,,
"24 x 24 = 576",arithmetic,arith_train,1,,0.7836640233,,
"81 x 88 = 7128",arithmetic,arith_train,1,,0.8005016076,,
"68 x 27 = 1836",arithmetic,arith_train,1,,0.7835611638,,
"73 - 56 = 27",arithmetic,arith_train,0,,0.2436920204,,
"88 x 50 = 4403",arithmetic,arith_train,0,,0.6898934531,,
"95 x 22 = 2090",arithmetic,arith_train,1,,0.7379691561,,
"20 x 41 = 809",arithmetic,arith_train,0,,0.7272583712,,
"79 x 16 = 1251",arithmetic,arith_test,0,45,0.5611937325,0.0000042809,
"98 x 79 = 7724",arithmetic,arith_train,0,,0.6902461629,,
"4 - 7 = -13",arithmetic,arith_train,0,,0.3541956763,,
"72 + 87 = 153",arithmetic,arith_train,0,,0.7323222755,,
"65 + 28 = 100",arithmetic,arith_train,0,,0.4697111507,,
"24 - 66 = -22",arithmetic,arith_train,0,,0.3664636114,,
"23 x 8 = 184",arithmetic,arith_train,1,,0.7064157458,,
"8 - 31 = -23",arithmetic,arith_train,1,,0.6550966632,,
"63 + 11 = 74",arithmetic,arith_train,1,,0.7139655470,,
"83 + 82 = 165",arithmetic,arith_train,1,,0.7284109546,,
"49 + 73 = 122",arithmetic,arith_train,1,,0.8198179791,,
"51 + 34 = 85",arithmetic,arith_train,1,,0.7780382941,,
"83 + 69 = 152",arithmetic,arith_train,1,,0.7741864815,,
"21 - 52 = -31",arithmetic,arith_train,1,,0.7089741712,,
"56 x 56 = 3136",arithmetic,arith_train,1,,0.7782541045,,
"72 + 12 = 84",arithmetic,arith_train,1,,0.7207498902,,
"94 x 69 = 6486",arithmetic,arith_train,1,,0.7959503804,,
"100 x 30 = 2989",arithmetic,arith_train,0,,0.6109055262,,
"31 + 14 = 39",arithmetic,arith_test,0,83,0.5331698243,0.0160968413,
"56 + 35 = 72",arithmetic,arith_test,0,51,0.4020724163,0.0000118595,
"76 x 15 = 1140",arithmetic,arith_train,1,,0.6671750515,,
"15 - 0 = 1",arithmetic,arith_train,0,,0.3261670048,,
"55 x 44 = 2420",arithmetic,arith_train,1,,0.7442583664,,
"37 + 100 = 154",arithmetic,arith_train,0,,0.6655611626,,
"58 - 44 = 14",arithmetic,arith_train,1,,0.4310542094,,
"16 - 5 = 11",arithmetic,arith_train,1,,0.3912603760,,
"8 - 16 = 12",arithmetic,arith_test,0,74,0.3088118029,0.0001336525,
"0 x 84 = -15",arithmetic,arith_train,0,,0.1676466108,,
"38 + 84 = 122",arithmetic,arith_train,1,,0.7843823201,,
"13 - 11 = 2",arithmetic,arith_train,1,,0.4788889792,,
"59 + 53 = 112",arithmetic,arith_train,1,,0.7186869218,,
"61 + 59 = 131",arithmetic,arith_train,0,,0.5540730541,,
"95 - 8 = 102",arithmetic,arith_train,0,,0.0937505025,,
"43 - 14 = 29",arithmetic,arith_train,1,,0.4411655204,,
"90 - 48 = 37",arithmetic,arith_train,0,,0.4633713852,,
"31 - 11 = 20",arithmetic,arith_test,1,36,0.5473771580,0.9971347292,
"98 + 99 = 197",arithmetic,arith_train,1,,0.7133205924,,
"39 x 51 = 1989",arithmetic,arith_test,1,117,0.6944151949,0.3709480412,
"51 - 95 = -57",arithmetic,arith_train,0,,0.2567542507,,
"70 x 29 = 2030",arithmetic,arith_train,1,,0.7531138030,,
"72 x 87 = 6266",arithmetic,arith_train,0,,0.7043578490,,
"51 + 31 = 82",arithmetic,arith_test,1,63,0.7237234296,0.9969680797,
"85 x 48 = 4080",arithmetic,arith_train,1,,0.8108100097,,
"12 - 50 = -27",arithmetic,arith_train,0,,0.2582409962,,
"84 - 54 = 10",arithmetic,arith_test,0,12,0.3978663287,0.0470799426,
"32 x 5 = 160",arithmetic,arith_train,1,,0.7154819292,,
"87 x 40 = 3492",arithmetic,arith_train,0,,0.6312640882,,
"77 + 54 = 131",arithmetic,arith_train,1,,0.7857421597,,
"33 x 26 = 858",arithmetic,arith_train,1,,0.8029993167,,
"86 - 48 = 38",arithmetic,arith_test,1,54,0.5682711834,0.9995660209,
"19 - 27 = -8",arithmetic,arith_train,1,,0.5465459874,,
"16 - 24 = -8",arithmetic,arith_train,1,,0.4277554168,,
"16 x 100 = 1593",arithmetic,arith_train,0,,0.4216490313,,
"6 x 80 = 469",arithmetic,arith_test,0,92,0.6950559190,0.0176136684,
"42 x 16 = 655",arithmetic,arith_test,0,10,0.4541976333,0.0001573180,
"34 - 39 = -13",arithmetic,arith_train,0,,0.1982170531,,
"56 x 44 = 2474",arithmetic,arith_test,0,108,0.7026581499,0.0216023023,
"14 x 36 = 485",arithmetic,arith_test,0,39,0.4028563211,0.0000720598,
"25 - 5 = 30",arithmetic,arith_train,0,,0.0987356530,,
"68 x 87 = 5916",arithmetic,arith_train,1,,0.7879253693,,
"77 + 25 = 102",arithmetic,arith_train,1,,0.8199856160,,
"97 x 20 = 1940",arithmetic,arith_train,1,,0.6981729827,,
"3 - 14 = -11",arithmetic,arith_train,1,,0.6318453480,,
"92 - 21 = 71",arithmetic,arith_train,1,,0.8147441574,,
"81 + 33 = 114",arithmetic,arith_train,1,,0.7354117755,,
"17 + 59 = 76",arithmetic,arith_train,1,,0.7035780709,,
"35 + 56 = 91",arithmetic,arith_test,1,32,0.8066483324,0.9921685379,
"3 x 50 = 150",arithmetic,arith_train,1,,0.5921106060,,
"73 + 83 = 167",arithmetic,arith_train,0,,0.4641243975,,
"82 x 21 = 1703",arithmetic,arith_train,0,,0.6399149462,,
"11 - 8 = 16",arithmetic,arith_train,0,,0.1236938875,,
"38 x 81 = 3078",arithmetic,arith_test,1,118,0.7936165481,0.4277777569,
"82 + 3 = 101",arithmetic,arith_train,0,,0.3695712269,,
"67 x 71 = 4757",arithmetic,arith_train,1,,0.7960537537,,
"3 + 11 = 33",arithmetic,arith_train,0,,0.4599550447,,
"95 - 11 = 88",arithmetic,arith_train,0,,0.4808141046,,
"55 x 22 = 1210",arithmetic,arith_train,1,,0.7576307399,,
"61 - 27 = 34",arithmetic,arith_train,1,,0.5878090017,,
"95 x 89 = 8469",arithmetic,arith_train,0,,0.8127805156,,
"14 + 59 = 68",arithmetic,arith_train,0,,0.4285927222,,
"71 x 25 = 1775",arithmetic,arith_train,1,,0.7229241033,,
"43 x 35 = 1514",arithmetic,arith_train,0,,0.5997403034,,
"78 + 94 = 179",arithmetic,arith_train,0,,0.7057284198,,
"14 x 63 = 864",arithmetic,arith_train,0,,0.7244759151,,
"59 x 6 = 354",arithmetic,arith_train,1,,0.7261659690,,
"12 - 87 = -57",arithmetic,arith_train,0,,0.3251728236,,
"59 x 36 = 2106",arithmetic,arith_train,0,,0.7280706833,,
"46 - 11 = 31",arithmetic,arith_test,0,61,0.5033183118,0.0077499503,
"66 - 48 = 3",arithmetic,arith_train,0,,0.2591141588,,
"62 x 27 = 1674",arithmetic,arith_train,1,,0.7352438124,,
"95 + 40 = 135",arithmetic,arith_train,1,,0.6924977541,,
"44 + 57 = 113",arithmetic,arith_train,0,,0.6457903525,,
"0 x 92 = 0",arithmetic,arith_train,1,,0.3501241805,,
"84 x 81 = 6804",arithmetic,arith_train,1,,0.8677110946,,
"7 x 51 = 357",arithmetic,arith_train,1,,0.6858860748,,
"86 - 68 = 29",arithmetic,arith_train,0,,0.1419556029,,
"7 - 21 = -14",arithmetic,arith_test,1,94,0.5897972145,0.9989555845,
"27 - 56 = -21",arithmetic,arith_train,0,,0.3163055961,,
"24 + 89 = 94",arithmetic,arith_train,0,,0.4450415556,,
"9 + 18 = 40",arithmetic,arith_train,0,,0.4309541251,,
"34 - 42 = -8",arithmetic,arith_test,1,100,0.5558804644,0.9950434601,
"82 x 22 = 1819",arithmetic,arith_train,0,,0.6188423965,,
"58 + 90 = 148",arithmetic,arith_train,1,,0.7981279146,,
"75 - 34 = 41",arithmetic,arith_train,1,,0.6434767161,,
"19 - 24 = -5",arithmetic,arith_train,1,,0.3242475134,,
"0 - 76 = -76",arithmetic,arith_train,1,,0.7069261571,,
"72 - 38 = 34",arithmetic,arith_train,1,,0.5406508436,,
"100 - 60 = 40",arithmetic,arith_train,1,,0.6494809311,,
"64 + 58 = 129",arithmetic,arith_train,0,,0.5882401988,,
"82 - 65 = 17",arithmetic,arith_test,1,2,0.4839574387,0.9997762957,
"14 - 99 = -93",arithmetic,arith_test,0,6,0.3753180536,0.0000002087,
"29 + 42 = 51",arithmetic,arith_test,0,65,0.7414551894,0.3443052465,
"8 - 85 = -77",arithmetic,arith_train,1,,0.5557328239,,
"79 x 40 = 3160",arithmetic,arith_train,1,,0.7937076259,,
"78 x 92 = 7176",arithmetic,arith_train,1,,0.7918419885,,
"90 + 57 = 127",arithmetic,arith_train,0,,0.7362419963,,
"76 - 5 = 82",arithmetic,arith_test,0,96,0.0449746754,0.0006364894,
"78 + 98 = 176",arithmetic,arith_train,1,,0.7165274452,,
"10 x 10 = 100",arithmetic,arith_train,1,,0.6289556277,,
"24 + 12 = 36",arithmetic,arith_train,1,,0.7607378252,,
"10 x 36 = 360",arithmetic,arith_train,1,,0.6649040089,,
"48 x 68 = 3272",arithmetic,arith_test,0,31,0.7657988481,0.0017950166,
"12 - 45 = -33",arithmetic,arith_train,1,,0.6248879612,,
"89 - 97 = -19",arithmetic,arith_train,0,,0.2830945153,,
"28 - 87 = -59",arithmetic,arith_train,1,,0.6209402708,,
"27 - 48 = -36",arithmetic,arith_train,0,,0.3419701381,,
"39 x 13 = 507",arithmetic,arith_train,1,,0.7953776839,,
"57 x 22 = 1269",arithmetic,arith_train,0,,0.6640746514,,
"42 + 35 = 77",arithmetic,arith_train,1,,0.7543038458,,
"58 x 53 = 3074",arithmetic,arith_test,1,91,0.7541496984,0.1119342638,
"5 + 84 = 89",arithmetic,arith_train,1,,0.7833260815,,
"29 - 4 = 25",arithmetic,arith_train,1,,0.5027005774,,
"16 - 97 = -64",arithmetic,arith_train,0,,0.3315620930,,
"94 + 35 = 129",arithmetic,arith_train,1,,0.7309074157,,
"33 + 50 = 83",arithmetic,arith_test,1,34,0.7378330478,0.9961542906,
"70 - 0 = 70",arithmetic,arith_test,1,110,0.6619834633,0.9857211473,
"75 + 35 = 110",arithmetic,arith_test,1,60,0.6780713813,0.9832627627,
"97 - 69 = 43",arithmetic,arith_train,0,,0.3257438564,,
"91 + 36 = 127",arithmetic,arith_train,1,,0.7637269732,,
"68 x 54 = 3672",arithmetic,arith_test,1,66,0.8064899393,0.9027514075,
"34 x 89 = 3026",arithmetic,arith_train,1,,0.8435859508,,
"53 x 77 = 4061",arithmetic,arith_train,0,,0.8323935648,,
"92 x 61 = 5626",arithmetic,arith_train,0,,0.7568074886,,
"98 - 73 = 45",arithmetic,arith_train,0,,0.4213439388,,
"41 - 43 = -2",arithmetic,arith_train,1,,0.3811358002,,
"46 + 39 = 85",arithmetic,arith_test,1,37,0.8033196824,0.9886640452,
"2 x 97 = 203",arithmetic,arith_train,0,,0.4147399315,,
"45 x 26 = 1170",arithmetic,arith_train,1,,0.7178969455,,
"56 - 80 = -15",arithmetic,arith_train,0,,0.2130206339,,
"41 - 27 = 14",arithmetic,arith_train,1,,0.3703822873,,
"9 x 49 = 456",arithmetic,arith_test,0,104,0.4854698773,0.0005495805,
"28 + 62 = 90",arithmetic,arith_test,1,23,0.6861054008,0.9933965381,
"1 + 92 = 107",arithmetic,arith_train,0,,0.4362594800,,
"11 + 96 = 107",arithmetic,arith_train,1,,0.6977504807,,
"33 + 64 = 97",arithmetic,arith_train,1,,0.7002329917,,
"78 x 36 = 2793",arithmetic,arith_train,0,,0.7406754408,,
"6 + 44 = 50",arithmetic,arith_train,1,,0.7119460271,,
"73 x 45 = 3295",arithmetic,arith_train,0,,0.8150931818,,
"90 + 80 = 170",arithmetic,arith_train,1,,0.6907099038,,
"88 x 25 = 2200",arithmetic,arith_train,1,,0.8007964175,,
"98 + 47 = 145",arithmetic,arith_train,1,,0.8234753892,,
"77 - 17 = 62",arithmetic,arith_test,0,101,0.4915125268,0.1598011712,
"62 + 24 = 81",arithmetic,arith_train,0,,0.6141980547,,
"46 + 96 = 149",arithmetic,arith_test,0,0,0.4574876747,0.0000017493,
"19 x 70 = 1350",arithmetic,arith_train,0,,0.6605637916,,
"38 x 75 = 2866",arithmetic,arith_train,0,,0.6657783054,,
"93 - 19 = 78",arithmetic,arith_train,0,,0.5249795577,,
"82 + 43 = 125",arithmetic,arith_train,1,,0.7359495434,,
"72 + 71 = 155",arithmetic,arith_train,0,,0.5248310029,,
"77 + 65 = 142",arithmetic,arith_train,1,,0.8044305812,,
"10 x 41 = 400",arithmetic,arith_train,0,,0.4081024055,,
"27 x 19 = 497",arithmetic,arith_train,0,,0.6672565946,,
"31 + 25 = 56",arithmetic,arith_test,1,64,0.7868863421,0.9985358276,
"35 x 79 = 2745",arithmetic,arith_train,0,,0.8468253222,,
"5 - 81 = -88",arithmetic,arith_train,0,,0.3557002633,,
"53 x 84 = 4452",arithmetic,arith_train,1,,0.7903966163,,
"36 x 54 = 1944",arithmetic,arith_test,1,86,0.6752908761,0.9656726305,
"85 x 54 = 4578",arithmetic,arith_test,0,112,0.6262638981,0.0060865374,
"24 - 99 = -63",arithmetic,arith_test,0,13,0.3577954303,0.0024174975,
"11 x 78 = 841",arithmetic,arith_train,0,,0.7972576341,,
"0 - 78 = -70",arithmetic,arith_train,0,,0.3546165859,,
"25 - 46 = -21",arithmetic,arith_test,1,69,0.5776690789,0.9986546847,
"24 + 40 = 82",arithmetic,arith_train,0,,0.6250314887,,
"18 x 16 = 297",arithmetic,arith_train,0,,0.5308339503,,
"83 - 47 = 36",arithmetic,arith_test,1,62,0.6434333698,0.9988327855,
"71 + 46 = 104",arithmetic,arith_test,0,113,0.5426680903,0.0012055403,
"15 + 58 = 80",arithmetic,arith_train,0,,0.3696728800,,
"62 + 25 = 92",arithmetic,arith_train,0,,0.6191853030,,
"84 - 91 = -7",arithmetic,arith_train,1,,0.6101733523,,
"38 x 1 = 20",arithmetic,arith_test,0,87,0.2339550783,0.0000076496,
"55 x 0 = 0",arithmetic,arith_test,1,81,0.6499929581,0.9968646746,
"37 - 95 = -62",arithmetic,arith_train,0,,0.5990789180,,
"17 - 4 = 29",arithmetic,arith_train,0,,0.1752001522,,
"74 + 84 = 146",arithmetic,arith_train,0,,0.4691494217,,
"70 - 18 = 52",arithmetic,arith_train,1,,0.6497750515,,
"72 + 84 = 156",arithmetic,arith_train,1,,0.7512697414,,
"1 - 70 = -72",arithmetic,arith_train,0,,0.3441926540,,
"37 x 41 = 1503",arithmetic,arith_test,0,35,0.6883314550,0.0132814845,
"43 x 2 = 86",arithmetic,arith_train,1,,0.7415891343,,
"88 x 19 = 1672",arithmetic,arith_train,1,,0.7217744440,,
"69 + 10 = 79",arithmetic,arith_test,1,8,0.7440920910,0.9934798106,
"64 x 13 = 832",arithmetic,arith_train,1,,0.7872210590,,
"13 + 55 = 77",arithmetic,arith_train,0,,0.5046054460,,
"81 x 21 = 1701",arithmetic,arith_train,1,,0.7418317031,,
"30 x 80 = 2410",arithmetic,arith_train,0,,0.7734718425,,
"61 + 60 = 136",arithmetic,arith_train,0,,0.3999259119,,
"100 - 40 = 60",arithmetic,arith_train,1,,0.7008293271,,
"85 + 45 = 143",arithmetic,arith_train,0,,0.6866578271,,
"90 - 12 = 84",arithmetic,arith_train,0,,0.3695551752,,
"54 + 4 = 58",arithmetic,arith_train,1,,0.6828076106,,
"84 - 88 = -5",arithmetic,arith_train,0,,0.2351637518,,
"57 - 31 = 26",arithmetic,arith_train,1,,0.5679372911,,
"94 x 56 = 5264",arithmetic,arith_train,1,,0.8370653747,,
"94 - 42 = 52",arithmetic,arith_test,1,56,0.6665527899,0.9940212596,
"33 - 16 = 17",arithmetic,arith_train,1,,0.5503100561,,
"40 - 96 = -56",arithmetic,arith_train,1,,0.6165401848,,
"7 + 65 = 72",arithmetic,arith_test,1,3,0.7306021107,0.9969619601,
"42 + 17 = 71",arithmetic,arith_train,0,,0.6232049445,,
"1 x 58 = 58",arithmetic,arith_test,1,25,0.5269755098,0.9809853186,
"13 x 86 = 1118",arithmetic,arith_train,1,,0.7397870540,,
"72 - 66 = 6",arithmetic,arith_train,1,,0.5321914856,,
"79 + 95 = 174",arithmetic,arith_train,1,,0.7857209041,,
"76 + 7 = 76",arithmetic,arith_train,0,,0.3520718394,,
"98 + 16 = 114",arithmetic,arith_train,1,,0.7159769641,,
"54 - 52 = 2",arithmetic,arith_train,1,,0.5518595211,,
"14 x 19 = 266",arithmetic,arith_train,1,,0.6780185639,,
"74 x 70 = 5178",arithmetic,arith_train,0,,0.7190193215,,
"83 - 41 = 42",arithmetic,arith_train,1,,0.5961903649,,
"71 - 68 = 3",arithmetic,arith_train,1,,0.3803300427,,
"52 + 3 = 55",arithmetic,arith_train,1,,0.7151154556,,
"35 - 96 = -61",arithmetic,arith_train,1,,0.7424286897,,
"89 - 49 = 40",arithmetic,arith_train,1,,0.6682424205,,
"27 - 65 = -38",arithmetic,arith_train,1,,0.6314899718,,
"70 + 9 = 78",arithmetic,arith_train,0,,0.5805253870,,
"35 x 92 = 3237",arithmetic,arith_train,0,,0.7224273584,,
